POS,NO,DRIVER,CAR,Q1,Q2,Q3,LAPS,RACE_NO,SEASON,TRACK
13,2,Stoffel Vandoorne,MCLAREN HONDA,1:06.316,1:05.741,,14,9,2017,Red Bull Ring
14,26,Daniil Kvyat,TORO ROSSO,1:05.990,1:05.884,,16,9,2017,Red Bull Ring
15,20,Kevin Magnussen,HAAS FERRARI,1:06.143,,,6,9,2017,Red Bull Ring
16,30,Jolyon Palmer,RENAULT,1:06.345,,,10,9,2017,Red Bull Ring
17,19,Felipe Massa,WILLIAMS MERCEDES,1:06.534,,,8,9,2017,Red Bull Ring
18,18,Lance Stroll,WILLIAMS MERCEDES,1:06.608,,,11,9,2017,Red Bull Ring
19,9,Marcus Ericsson,SAUBER FERRARI,1:06.857,,,12,9,2017,Red Bull Ring
20,94,Pascal Wehrlein,SAUBER FERRARI,1:07.011,,,11,9,2017,Red Bull Ring
1,44,Lewis Hamilton,MERCEDES,1:39.069,1:27.893,1:26.600,25,10,2017,Silverstone
2,7,Kimi Räikkönen,FERRARI,1:40.455,1:28.992,1:27.147,26,10,2017,Silverstone
3,5,Sebastian Vettel,FERRARI,1:39.962,1:28.978,1:27.356,24,10,2017,Silverstone
4,77,Valtteri Bottas,MERCEDES,1:39.698,1:28.732,1:27.376,26,10,2017,Silverstone
5,33,Max Verstappen,RED BULL RACING TAG HEUER,1:38.912,1:29.431,1:28.130,23,10,2017,Silverstone
6,27,Nico Hulkenberg,RENAULT,1:39.201,1:29.340,1:28.856,21,10,2017,Silverstone
7,11,Sergio Perez,FORCE INDIA MERCEDES,1:42.009,1:29.824,1:28.902,26,10,2017,Silverstone
8,31,Esteban Ocon,FORCE INDIA MERCEDES,1:39.738,1:29.701,1:29.074,25,10,2017,Silverstone
9,2,Stoffel Vandoorne,MCLAREN HONDA,1:40.011,1:30.105,1:29.418,24,10,2017,Silverstone
10,8,Romain Grosjean,HAAS FERRARI,1:42.042,1:29.966,1:29.549,26,10,2017,Silverstone
